STATEFIPS,STATE,zipcode,agi_stub,N1,mars1,MARS2,MARS4,ELF,CPREP,PREP,DIR_DEP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,VITA_EIC,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01750,A01750,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N04450,A04450,N04100,A04100,N04200,A04200,N04470,A04470,A00101,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18800,A18800,N18460,A18460,N18300,A18300,N19300,A19300,N19500,A19500,N19530,A19530,N19570,A19570,N19700,A19700,N20950,A20950,N04475,A04475,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07225,A07225,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11900,A11900,N11902,A11902,N12000,A12000
2,AK,0,5,59750,10060,46700,2540,53300,3450,29270,31820,156530,50200,250,160,100,0,4550,18240,8200856,59750,8274715,52280,5919819,27810,37193,21130,101536,18850,70101,910,1115,12960,237193,16610,184987,22560,1181860,300,2500,9671,11640,240432,5650,154882,18960,73859,2870,804,780,11718,1770,14356,1480,8512,5620,6236,50760,1127945,50750,1106372,10590,21152,8910,263858,1277932,1570,31987,2500,3487,2690,3534,8390,46867,1690,949,7950,46889,8750,51648,7760,96887,300,1432,830,408,160,491,7150,66432,350,6294,13550,75842,59720,6713257,59680,1043333,0,0,190,1133,30560,93290,6070,1357,4830,3271,3680,4018,0,0,24570,80024,120,349,9470,42546,20,230,290,3279,990,2466,59230,1068943,0,0,0,0,20,63,2420,2138,0,0,59340,949707,59450,1002625,190,33,20,29,22120,101349,37450,166517,35420,148936,2670,17718
2,AK,0,6,17810,1890,15220,210,16070,1000,11800,5750,47760,14610,0,0,0,0,140,6540,6857354,17810,6953958,15350,3471630,13080,76241,10380,219526,9820,166417,340,713,4620,285503,9800,674445,7490,595606,110,120,461,3470,86462,5620,1104209,6190,96604,330,86,770,25899,2000,30639,30,297,0,0,11210,259194,11200,253038,2860,5810,6420,294567,3022819,70,955,2050,6337,1340,2442,6160,56867,980,448,5970,47304,6340,51250,5270,86253,30,251,630,326,660,5706,5600,109533,280,5180,7320,183010,17810,6090219,17810,1384418,60,342,0,0,10120,35178,4690,9016,1100,697,0,0,0,0,5610,17409,0,0,4050,37207,0,0,0,0,60,248,17650,1456136,0,0,0,0,0,0,0,0,0,0,17790,1345708,17800,1428380,6870,9257,8920,25439,8300,157518,9160,189847,6720,86436,2730,95873
4,AZ,0,1,1000890,673160,129940,186610,876770,66770,413480,661220,1470770,478840,52790,25070,27720,8750,169750,223750,13428085,1000880,13633030,759900,10384790,125210,89985,74630,159001,66730,90044,11350,6512,174280,1143042,68250,73321,160510,1574928,1540,23160,85492,54900,104898,14160,12575,177610,204945,2440,537,90,963,10590,34075,2240,7032,29930,23600,979160,13819130,979160,13512153,165730,306950,21080,470928,308594,17350,244230,5220,6259,11530,10201,14570,38660,9540,4471,17810,53812,20140,60751,11500,102014,130,695,350,135,310,549,14120,32725,610,5989,34150,22556,429200,2386939,424810,241401,0,0,7320,3052,176120,62124,4110,195,6420,2119,38020,18057,51190,8410,86100,32115,290,314,140720,201822,28750,256840,29570,254648,22030,12266,877830,2127383,358340,996022,320430,876401,216880,349845,48260,37893,14850,12643,296730,179107,430010,398351,0,0,0,0,98830,84608,816730,1811507,812820,1799813,4270,6577
4,AZ,0,2,803950,415430,186050,187360,720840,45630,346260,571010,1541170,558400,26110,14930,11180,2300,154230,162470,29055278,803950,29355605,693710,23990983,120250,107120,71740,221014,65080,132578,38190,24851,98440,832838,65780,189807,149390,2793136,1490,17990,70445,121210,870462,18070,123403,166900,300327,17510,4150,570,5488,11440,47094,10650,37950,78720,74677,766330,12469912,766330,12269221,103490,200841,37590,869036,1440302,26570,364818,20090,28013,16450,23058,28540,71498,22030,12399,32710,114578,37060,130045,24390,212012,580,3058,1000,686,730,1073,29460,108119,2190,23294,71300,115737,795400,15476519,789820,1683775,0,0,17230,15677,390320,464314,17840,1598,31390,18588,62270,56833,129560,25274,274020,354305,4010,5617,66910,167933,29240,256032,30440,267541,37920,25639,776580,3010083,210520,477711,188510,420180,198580,420164,38420,29504,9920,10071,570760,1219479,614950,1422754,0,0,0,0,143580,201822,654710,1779354,649420,1763187,7470,15216
4,AZ,0,3,430940,176840,185400,60720,384380,25580,208220,266070,914490,299300,8620,3280,5340,0,55520,125790,26481225,430940,26754263,357590,19936835,114580,122752,72670,288624,66790,181513,60430,50383,62450,614341,66580,289037,125480,3494268,1350,8400,33426,98000,1553754,18210,219960,116890,273038,12340,3078,820,8490,9550,51136,8890,38252,57820,62322,383230,7092057,383230,6940300,78250,151902,47960,1144748,3017211,25680,369926,32030,67216,14700,26526,40910,103532,30590,16990,43250,188164,47730,207465,36190,329863,860,4842,3200,2421,1050,2153,39190,164512,4160,50728,55630,144348,429750,18007890,428440,2192971,0,0,8310,21710,196890,436393,22080,3104,18980,10484,32270,33383,30760,4998,150630,363854,5860,14962,42340,121756,9180,99132,11630,117107,13450,13489,420210,2452484,4260,1787,2900,1236,45580,90506,20080,16100,590,704,380140,1756534,393480,1905385,0,0,0,0,121630,261813,307790,790428,301270,767496,9010,22478
4,AZ,0,4,272420,73960,172810,22180,244270,15250,140050,157080,647280,202290,2180,720,1460,0,26150,92660,23611662,272420,23837650,222450,16781646,98580,125093,65910,311255,60570,200713,61180,64258,44900,509577,60810,377543,98530,3600353,570,4480,16878,73500,1554499,17060,307362,75950,225988,9350,2506,290,3998,6620,41400,5640,28200,32110,35874,228170,4808911,228170,4692246,57010,116516,43970,1136033,3844484,19010,281105,32710,94541,10250,23080,39690,111633,29600,17653,40530,217875,43800,235614,35700,354370,620,3299,1630,1442,600,2255,37470,189359,1310,23267,44840,148391,272070,17440058,271440,2257542,20,68,3010,15200,128080,357119,20760,3657,16430,9366,21730,23410,0,0,101700,295657,3160,12288,30820,99304,700,7698,3990,36364,5360,7763,267360,2328322,0,0,0,0,9080,17620,13930,11201,0,0,260880,1900305,264220,2023968,20,37,0,0,88370,247524,183150,544599,176830,519891,7510,22197
4,AZ,0,5,398690,64310,314000,17550,361060,22990,221950,184600,1036490,324580,760,370,380,0,21860,141390,54038814,398690,54599638,330460,37196930,195630,345162,142800,998498,133100,690786,146310,220538,77830,1292922,135920,1679643,158770,8293380,780,5570,21717,106050,2655498,45560,1352894,131050,560824,17560,4677,4110,67029,17110,135400,11920,68691,47470,54634,292190,6668488,292190,6503691,77640,164731,106580,3286070,15235698,31560,484734,89420,428925,16510,49363,100120,348159,75190,54495,100260,744552,106520,792978,91490,1100728,2210,13182,7560,6200,4340,19064,96260,704221,7090,163784,92520,508433,398390,43478520,398000,6589943,60,478,900,6884,213370,633233,50930,19537,31830,18474,32820,36854,0,0,162430,488122,5980,34115,54660,228511,0,0,1150,10269,3790,9128,393170,6393389,0,0,0,0,1170,2923,24450,20796,0,0,394460,5956312,395610,6244624,2060,532,50,27,173980,775856,223770,911758,208470,800151,19970,115071
4,AZ,0,6,141840,16200,119600,3360,129640,7740,102690,39670,386680,126510,0,0,0,0,1090,52380,66788188,141840,67570789,118840,32225838,106930,1017097,87440,2812311,83280,2114887,62390,308500,34410,1902251,90740,10785858,52060,4277991,260,350,1522,32480,915716,49350,10026462,49430,782601,2090,526,6080,217428,17130,204699,2160,20148,0,0,60860,1426931,60850,1386225,18490,39538,80250,4823369,44554515,5620,129608,73640,1529565,5430,20974,76400,484419,49830,50115,77800,746010,80240,824193,68170,1175739,880,10338,6080,3642,10240,217529,75260,1767197,5930,319511,60120,1643350,141760,58735442,141680,13799829,2190,26643,0,0,88870,437520,43110,132893,9930,5630,0,0,0,0,46190,139994,1190,10494,31040,258425,0,0,0,0,30,116,139920,14068032,0,0,0,0,0,0,0,0,0,0,141430,13334494,141660,14092724,60010,112696,77210,349371,73100,1728844,67260,1703333,47690,636595,22870,1005869
5,AR,0,1,462950,281770,67620,106000,420630,21050,235240,319240,721270,256130,15000,8430,6570,3120,102770,90420,6077886,462950,6159333,369640,4828658,54290,35763,24280,41750,21820,27227,3670,2490,79240,520597,21690,33524,67170,650343,7770,10560,25568,21130,42654,5700,12975,80270,81447,150,35,0,0,3790,13113,430,1550,9560,7424,458120,6633842,458120,6507906,67310,126451,3800,84840,73322,3020,46449,750,1070,1840,1821,2080,3893,1730,595,3010,7793,3620,9239,1130,7760,0,0,0,0,20,28,2190,9213,80,1228,11400,7680,176780,937927,176340,95825,0,0,3870,1734,72630,23961,710,25,2490,886,10900,5215,22150,3730,38030,13235,110,76,67360,93662,13640,77424,14080,76290,8550,4621,422350,1097292,193420,557166,176870,496249,120260,188246,18360,15027,6550,4858,120480,71323,187130,171438,0,0,0,0,38690,32729,398950,957183,397420,953332,1270,2002
5,AR,0,2,313910,137590,95000,74090,288540,11760,169640,227460,635000,229050,7500,4270,3230,430,69540,68620,11302100,313910,11405800,274400,9392097,53940,41542,26110,58301,24030,39976,16130,11221,40480,295212,22160,70847,63870,1120100,8800,9980,29870,57230,383297,7790,54387,62310,103700,6450,1570,0,0,4640,20270,3300,11978,24620,23100,304870,5229783,304870,5142455,45370,88588,9120,211278,385816,5790,84091,5260,11426,3110,4408,5850,9789,5190,2278,7520,23870,8940,28439,4250,27308,0,0,70,24,120,117,6750,41064,310,5246,31250,46402,311520,5776590,309240,625870,0,0,7860,6462,159570,186602,4460,196,13000,7641,19100,18060,60460,12612,117990,146192,1130,1595,28790,63693,12030,62962,12930,68294,14820,9962,304980,1242398,91930,211581,82660,186257,86500,178662,11950,9730,2600,2318,215330,441864,235280,520263,0,0,0,0,47650,67202,265000,786808,263100,781313,2360,4837
5,AR,0,3,168440,52850,92430,18740,154440,6370,100340,108330,381570,121590,1970,600,1370,0,24040,50020,10369104,168440,10463275,144000,7958163,49750,43774,25250,76652,23360,54004,27480,23892,25910,210144,22220,109783,49850,1275503,6810,4860,16241,42230,643775,8370,99633,45080,94171,6260,1617,40,804,4040,22274,2860,12840,19570,20994,157130,3102248,157110,3040055,31360,61225,11840,286260,776276,5580,80199,9150,28242,2380,4661,9050,16374,8200,3531,10720,47603,11820,51808,8290,54279,20,82,0,0,100,119,9650,72252,810,13325,24280,61871,168100,6901933,167630,822195,0,0,2420,5159,81150,181831,6230,455,9230,5182,11870,13338,15630,2514,64520,155539,590,1294,19260,48664,2060,11304,3690,20402,4590,4524,165060,965486,1060,429,610,244,17700,32019,7600,6457,20,15,147930,641791,153990,702335,0,0,0,0,42180,89452,126820,346773,124260,338934,3490,9226
5,AR,0,4,103140,18120,77440,5080,94610,3370,63730,63290,261210,79920,320,0,320,0,9960,33040,8969677,103140,9047681,88060,6621986,40140,41339,21130,79035,19350,56703,24440,25243,18150,161579,18580,125258,35830,1194933,4450,2750,10674,28080,576444,6390,95962,31470,78004,5180,1422,50,813,2030,13137,1610,8037,13190,15208,92550,2051966,92580,2009230,20970,43070,9650,253760,881149,3360,52917,7870,34951,880,1991,7780,16363,6630,2911,8620,50718,9550,55667,6520,46448,20,73,150,37,140,444,7930,67245,500,10767,17410,58417,103050,6557077,102840,814424,0,0,690,2714,49270,140443,4990,483,8240,4972,8280,9620,0,0,42260,120712,180,471,12740,36111,0,0,830,4568,1290,1864,101510,881329,0,0,0,0,1950,3472,4860,4189,0,0,99600,672012,100750,720850,0,0,0,0,26700,73739,74550,237624,72200,229002,2400,7326
5,AR,0,5,131140,13200,112820,2930,121180,4760,84540,63710,355360,111370,60,0,60,0,6220,43410,17802132,131140,17975145,112850,12533024,69520,100371,42800,239986,40170,183520,57340,72325,26120,364887,38690,463966,49080,2296810,6390,1900,8139,33420,819532,17710,591176,47210,173013,7620,2085,540,9737,5550,44920,3030,18674,15730,17785,102980,2411933,102870,2357120,23220,49376,27510,870994,4138438,4670,74286,25700,196964,1480,4307,24990,64691,20840,10970,25940,217960,27580,232268,21610,186626,280,1875,1010,344,810,2551,24660,287293,1430,49148,32030,198476,131070,14257197,130910,2120680,0,0,110,612,70360,202585,12050,1932,12410,7657,10260,12309,0,0,57780,167135,0,0,19380,74443,0,0,160,855,440,980,129280,2106102,0,0,0,0,20,48,7670,6804,0,0,130190,1914400,130460,2017496,170,41,20,46,51210,248339,78420,331772,73150,288828,6070,38461
5,AR,0,6,37860,2580,33300,310,35350,1090,29640,10000,108670,37140,0,0,0,0,130,12140,22026701,37860,22193848,32890,8515850,29770,357472,22790,3830820,21860,3646061,17050,67148,9140,397584,22430,2999758,11700,832115,1250,70,270,7560,211955,15110,2603152,13920,167147,490,122,880,25412,4390,48808,280,2623,0,0,16170,383798,16170,374527,3650,7801,20150,2795446,15948323,210,6589,19010,656072,550,1860,18740,96384,15140,12285,19540,191874,20180,207702,15640,211865,0,0,780,251,2280,34860,18890,2001766,1240,62639,16960,458170,37830,18264341,37830,4101669,220,2031,0,0,23680,116520,9140,38568,2970,1906,0,0,0,0,13510,40832,0,0,8590,57894,0,0,0,0,0,0,37130,4405352,0,0,0,0,0,0,0,0,0,0,37800,3979146,37830,4366482,15360,27450,20250,276896,18480,424689,17710,441907,12670,158394,5280,259606
6,CA,0,1,5493810,3974180,671650,780010,4785330,405010,3140770,3120660,7671860,2381990,179330,110090,69240,42660,650460,968490,71693919,5493780,73151582,4125140,54727849,731450,478224,375770,812018,337850,490031,81570,73582,1259370,9659322,349570,436648,580300,5611942,6110,260350,1107306,189370,375080,79470,101899,1255380,1457663,12900,2921,1840,14004,79590,263839,22670,81993,152900,130683,5347990,72020979,5347970,70867548,641970,1152753,143040,3281570,2074665,82770,1081031,34600,72344,83770,62116,105410,540581,63620,28781,119640,571996,139000,661688,92800,1159067,1020,8833,4690,2490,2480,4116,81470,164624,3230,36681,264770,194025,2368840,13167452,2342750,1342221,210,649,65960,25812,906680,340306,25500,1765,13510,5149,223130,100870,210230,37120,460720,188212,880,1062,1080460,1569827,266560,1752164,273850,1710620,112240,63088,4814400,10433687,1921060,4586886,1585770,3832731,1037410,1605108,279720,204637,173190,122877,1684150,1000977,2616920,2653348,0,0,0,0,780960,766102,4324280,8520784,4289890,8427430,40210,72631
6,CA,0,2,4280220,2296540,978220,932620,3828660,276950,2583970,2770200,8263170,3063840,99180,63290,35890,7510,567540,728100,155205471,4280240,157185251,3734680,129669686,813590,590988,342400,1107933,311130,692392,268140,216413,653710,7908201,330730,922305,563190,10681860,6310,257170,1361574,466730,3236527,97190,766454,873090,1979780,43990,10414,7650,71333,86110,377460,71120,310431,313960,304781,4007580,64457872,4007590,63693241,412630,765389,272850,6538853,10515227,121190,1586314,144460,294098,118960,148068,211990,1063709,162100,103837,242360,1344470,270450,1510594,190390,2323005,5810,52601,15100,17133,4380,6684,202520,655464,14550,169670,472710,882240,4232020,82740382,4207640,9122042,50,101,198250,163979,2045880,2437167,83450,10737,133330,82028,327420,300297,541350,112555,1491900,1890635,17670,26427,485060,1373069,325370,2085141,339270,2241324,207800,135189,4111130,15644646,962690,2115819,827550,1760561,980140,1954047,209660,154192,116030,98137,3100450,6686038,3335760,8186664,20,7,0,0,819620,1401193,3427610,8765891,3387820,8631119,51790,126452
6,CA,0,3,2472920,1139460,889890,394110,2213650,155770,1517740,1470790,5150380,1801150,26590,10730,15860,0,231370,581850,151982650,2472900,153841353,2123390,121305740,876410,692387,367740,1485551,336810,957939,447860,504519,388400,5162725,345860,1396793,506060,14436001,6430,143790,737600,397530,5950361,96120,1238516,626380,1858703,60010,14814,13390,154836,68230,406166,65760,330704,271090,289520,2084460,36880095,2084450,36292564,314360,587942,389440,9822405,24544156,126850,1776963,291120,910324,93540,166355,332620,1656422,260130,153559,360750,2453319,388350,2658798,306710,3667899,16020,141642,32180,41681,9010,16607,312500,1138065,23030,273851,325660,1008767,2463760,103874161,2457060,12917320,100,694,90320,196060,1124240,2441099,105850,20278,100330,61508,174360,182089,135540,23258,893030,2029838,29260,77543,270980,934801,93530,716994,125220,915475,82660,77816,2402610,14546255,17630,7271,11000,4607,227430,397107,115210,90849,19930,24514,2209200,10477981,2270390,11504812,0,0,0,0,673710,1654558,1789960,4601559,1745950,4425044,57070,172829
6,CA,0,4,1592270,596910,786180,178680,1431650,94410,1000580,889190,3543220,1168980,6070,1330,4740,0,111490,447480,137986789,1592270,139503943,1345740,105079315,797790,716857,350480,1637347,323240,1089695,498330,736749,273820,4110673,325840,1776932,417820,15972456,3850,89340,441153,313190,6057480,88330,1498509,393420,1517154,61350,15535,5280,75484,50450,353970,37780,223640,113620,113413,1177090,23011225,1177070,22556447,229320,453489,413130,11217080,36136117,101750,1483320,352360,1641325,56080,124494,367220,1944411,290260,160288,389850,3196931,412470,3396180,342240,4348575,7850,64878,32890,40373,4280,12022,346090,1405446,13180,170806,257760,1010019,1588700,102403177,1585020,13951767,120,505,35280,134670,728130,1931018,106560,26665,79590,49774,106320,117544,0,0,590380,1557544,20310,81286,188270,743266,15890,116217,43670,298605,32710,43361,1558370,14637176,0,0,0,0,40610,67699,77600,59784,0,0,1535850,12016734,1550710,12854145,80,25,0,0,500410,1557616,1084570,3279040,1043290,3082710,49080,183775
